zipcode,county,hhs-income1,hhs-income2,hhs-income3,hhs-income4,hhs-income5,hhs-income6,hhs-income7,hhs-income8
93701,Fresno,"$54,400 ","$62,200 ","$69,950 ","$77,700 ","$83,950 ","$90,150 ","$96,350 ","$102,600 "
93702,Fresno,"$54,400 ","$62,200 ","$69,950 ","$77,700 ","$83,950 ","$90,150 ","$96,350 ","$102,600 "
93703,Fresno,"$54,400 ","$62,200 ","$69,950 ","$77,700 ","$83,950 ","$90,150 ","$96,350 ","$102,600 "
93704,Fresno,"$54,400 ","$62,200 ","$69,950 ","$77,700 ","$83,950 ","$90,150 ","$96,350 ","$102,600 "
93705,Fresno,"$54,400 ","$62,200 ","$69,950 ","$77,700 ","$83,950 ","$90,150 ","$96,350 ","$102,600 "
93706,Fresno,"$54,400 ","$62,200 ","$69,950 ","$77,700 ","$83,950 ","$90,150 ","$96,350 ","$102,600 "
93707,Fresno,"$54,400 ","$62,200 ","$69,950 ","$77,700 ","$83,950 ","$90,150 ","$96,350 ","$102,600 "
93709,Fresno,"$54,400 ","$62,200 ","$69,950 ","$77,700 ","$83,950 ","$90,150 ","$96,350 ","$102,600 "
93710,Fresno,"$54,400 ","$62,200 ","$69,950 ","$77,700 ","$83,950 ","$90,150 ","$96,350 ","$102,600 "
93711,Fresno,"$54,400 ","$62,200 ","$69,950 ","$77,700 ","$83,950 ","$90,150 ","$96,350 ","$102,600 "
93712,Fresno,"$54,400 ","$62,200 ","$69,950 ","$77,700 ","$83,950 ","$90,150 ","$96,350 ","$102,600 "
93718,Fresno,"$54,400 ","$62,200 ","$69,950 ","$77,700 ","$83,950 ","$90,150 ","$96,350 ","$102,600 "
93720,Fresno,"$54,400 ","$62,200 ","$69,950 ","$77,700 ","$83,950 ","$90,150 ","$96,350 ","$102,600 "
93721,Fresno,"$54,400 ","$62,200 ","$69,950 ","$77,700 ","$83,950 ","$90,150 ","$96,350 ","$102,600 "
93722,Fresno,"$54,400 ","$62,200 ","$69,950 ","$77,700 ","$83,950 ","$90,150 ","$96,350 ","$102,600 "
93723,Fresno,"$54,400 ","$62,200 ","$69,950 ","$77,700 ","$83,950 ","$90,150 ","$96,350 ","$102,600 "
