tract,region,eligible,CFA
6059032030,Southern,FALSE,
6059032032,Southern,FALSE,
6059032035,Southern,FALSE,
6059032036,Southern,FALSE,
6059032039,Southern,FALSE,
6059032040,Southern,FALSE,
6059032046,Southern,FALSE,
6059032057,Southern,FALSE,
6059032059,Southern,FALSE,
6059042315,Southern,FALSE,
6059042319,Southern,FALSE,
6059042328,Southern,FALSE,
6059042329,Southern,FALSE,
6059042340,Southern,FALSE,
6059062633,Southern,FALSE,
6059062635,Southern,FALSE,
6059062642,Southern,FALSE,
6059099243,Southern,FALSE,
6061020105,Northern,FALSE,
6061022011,Northern,FALSE,
6073000400,Southern,FALSE,
6073000500,Southern,FALSE,
6073000600,Southern,FALSE,
6073000901,Southern,FALSE,
6073000902,Southern,FALSE,
6073001000,Southern,FALSE,
6073001302,Southern,FALSE,
6073013312,Southern,FALSE,
6073013315,Southern,FALSE,
6073013316,Southern,FALSE,
6073013322,Southern,FALSE,
6073013323,Southern,FALSE,
6073013327,Southern,FALSE,
6073013414,Southern,FALSE,
6073013415,Southern,FALSE,
6073013416,Southern,FALSE,
6073013418,Southern,FALSE,
6073013420,Southern,FALSE,
6073013424,Southern,FALSE,
6073018102,Southern,FALSE,
6073018302,Southern,FALSE,
6073018515,Southern,FALSE,
6075030600,Northern,FALSE,
6075030900,Northern,FALSE,
6075031202,Northern,FALSE,
6075031301,Northern,FALSE,
6075031402,Northern,FALSE,
6075032902,Northern,FALSE,
6075980501,Northern,FALSE,
6029003103,Central,TRUE,Bakersfield (PG&E zonal gas decommissioning area) 
6029003001,Central,TRUE,Bakersfield (PG&E zonal gas decommissioning area) 
6081601605,Northern,FALSE,
6081602500,Northern,FALSE,
6081605600,Northern,FALSE,
6081611400,Northern,FALSE,
6081612800,Northern,FALSE,
6081984300,Northern,FALSE,
6029002302,Central,TRUE,Bakersfield (PG&E zonal gas decommissioning area) 
6029002600,Central,TRUE,Bakersfield (PG&E zonal gas decommissioning area) 
6085504700,Northern,FALSE,
6085504802,Northern,FALSE,
6085504902,Northern,FALSE,
6085505402,Northern,FALSE,
6085505403,Northern,FALSE,
6085506000,Northern,FALSE,
6085506101,Northern,FALSE,
6085506103,Northern,FALSE,
6085506900,Northern,FALSE,
6085507904,Northern,FALSE,
6085508507,Northern,FALSE,
6085510803,Northern,FALSE,
6085511702,Northern,FALSE,
6085511704,Northern,FALSE,
6085511705,Northern,FALSE,
6085512025,Northern,FALSE,
6089011402,Northern,FALSE,
6089011403,Northern,FALSE,
6093001001,Northern,FALSE,
6097150602,Northern,FALSE,
6097151503,Northern,FALSE,
6097153405,Northern,FALSE,
6097153602,Northern,FALSE,
6081607200,Northern,FALSE,
6023010701,Northern,FALSE,
6029006404,Central,TRUE,Bakersfield (PG&E zonal gas decommissioning area) 
6081614000,Northern,FALSE,
6045011004,Northern,FALSE,
6075033201,Northern,FALSE,
6041127000,Northern,FALSE,
6081600900,Northern,FALSE,
6041109002,Northern,FALSE,
6001405100,Northern,FALSE,
6001400500,Northern,FALSE,
6001403702,Northern,FALSE,
6081608300,Northern,FALSE,
6081603400,Northern,FALSE,
6075010101,Northern,FALSE,
6001423601,Northern,FALSE,
6023011501,Northern,FALSE,
6085508203,Northern,FALSE,
6081613502,Northern,FALSE,
6075060400,Northern,FALSE,
6085508510,Northern,FALSE,
6001426100,Northern,FALSE,
6081608100,Northern,FALSE,
6085508404,Northern,FALSE,
6041111002,Northern,FALSE,
6081602800,Northern,FALSE,
6029002401,Central,TRUE,Bakersfield (PG&E zonal gas decommissioning area) 
6081607300,Northern,FALSE,
6081607900,Northern,FALSE,
6081607000,Northern,FALSE,
6001404600,Northern,FALSE,
6001421200,Northern,FALSE,
6001427900,Northern,FALSE,
6001428400,Northern,FALSE,
6001428600,Northern,FALSE,
6001441523,Northern,FALSE,
6013351200,Northern,FALSE,
6015000201,Northern,FALSE,
6017030502,Northern,FALSE,
6023001300,Northern,FALSE,
6023011000,Northern,FALSE,
6037214902,Southern,FALSE,
6037216402,Southern,FALSE,
6037265301,Southern,FALSE,
6037267101,Southern,FALSE,
6037267201,Southern,FALSE,
6037267202,Southern,FALSE,
6037267300,Southern,FALSE,
6037267700,Southern,FALSE,
6037267902,Southern,FALSE,
6037269300,Southern,FALSE,
6037271500,Southern,FALSE,
6037271600,Southern,FALSE,
6037271703,Southern,FALSE,
6037271801,Southern,FALSE,
6037271803,Southern,FALSE,
6037271804,Southern,FALSE,
6037271901,Southern,FALSE,
6037275312,Southern,FALSE,
6037602302,Southern,FALSE,
6037670201,Southern,FALSE,
6037670326,Southern,FALSE,
6037670417,Southern,FALSE,
6037980013,Southern,FALSE,
6037980017,Southern,FALSE,
6041102100,Northern,FALSE,
6041103200,Northern,FALSE,
6041104104,Northern,FALSE,
6041105001,Northern,FALSE,
6041105002,Northern,FALSE,
6041106001,Northern,FALSE,
6041108202,Northern,FALSE,
6041110200,Northern,FALSE,
6041119100,Northern,FALSE,
6041122000,Northern,FALSE,
6041126100,Northern,FALSE,
6041132100,Northern,FALSE,
6045011001,Northern,FALSE,
6029002304,Central,TRUE,Bakersfield (PG&E zonal gas decommissioning area) 
6029002501,Central,TRUE,Bakersfield (PG&E zonal gas decommissioning area) 
6057001209,Northern,FALSE,
6059032028,Southern,FALSE,
6059032029,Southern,FALSE,
6059032037,Southern,FALSE,
6059032038,Southern,FALSE,
6059032044,Southern,FALSE,
6059032058,Southern,FALSE,
6059032062,Southern,FALSE,
6059042111,Southern,FALSE,
6059042324,Southern,FALSE,
6059042327,Southern,FALSE,
6059042334,Southern,FALSE,
6059062643,Southern,FALSE,
6059099237,Southern,FALSE,
6059099238,Southern,FALSE,
6059099239,Southern,FALSE,
6059099244,Southern,FALSE,
6061022100,Northern,FALSE,
6061022300,Northern,FALSE,
6029002100,Central,TRUE,Bakersfield (PG&E zonal gas decommissioning area) 
6073005401,Southern,FALSE,
6073007002,Southern,FALSE,
6073007200,Southern,FALSE,
6073007302,Southern,FALSE,
6073007304,Southern,FALSE,
6073008701,Southern,FALSE,
6073009901,Southern,FALSE,
6073010900,Southern,FALSE,
6073011100,Southern,FALSE,
6073013309,Southern,FALSE,
6073013318,Southern,FALSE,
6073013324,Southern,FALSE,
6073013325,Southern,FALSE,
6073013326,Southern,FALSE,
6073013409,Southern,FALSE,
6073013411,Southern,FALSE,
6073013421,Southern,FALSE,
6073017810,Southern,FALSE,
6073018101,Southern,FALSE,
6073018400,Southern,FALSE,
6073018510,Southern,FALSE,
6073018512,Southern,FALSE,
6073018516,Southern,FALSE,
6073018613,Southern,FALSE,
6073018621,Southern,FALSE,
6073018622,Southern,FALSE,
6073019804,Southern,FALSE,
6073019808,Southern,FALSE,
6073022101,Southern,FALSE,
6075026002,Northern,FALSE,
6075060502,Northern,FALSE,
6029003214,Central,TRUE,Bakersfield (PG&E zonal gas decommissioning area) 
6029003207,Central,TRUE,Bakersfield (PG&E zonal gas decommissioning area) 
6029003126,Central,TRUE,Bakersfield (PG&E zonal gas decommissioning area) 
6081605700,Northern,FALSE,
6081607702,Northern,FALSE,
6081609700,Northern,FALSE,
6081613200,Northern,FALSE,
6081613400,Northern,FALSE,
6029002201,Central,TRUE,Bakersfield (PG&E zonal gas decommissioning area) 
6029002303,Central,TRUE,Bakersfield (PG&E zonal gas decommissioning area) 
6029003128,Central,TRUE,Bakersfield (PG&E zonal gas decommissioning area) 
6029006406,Central,TRUE,Bakersfield (PG&E zonal gas decommissioning area) 
6085502903,Northern,FALSE,
6085502907,Northern,FALSE,
6085505304,Northern,FALSE,
6085505401,Northern,FALSE,
6085507903,Northern,FALSE,
6085507906,Northern,FALSE,
6085510001,Northern,FALSE,
6085510002,Northern,FALSE,
6085510100,Northern,FALSE,
6085511302,Northern,FALSE,
6085511609,Northern,FALSE,
6085511701,Northern,FALSE,
6085512047,Northern,FALSE,
6085512053,Northern,FALSE,
6095251804,Northern,FALSE,
6097151205,Northern,FALSE,
6097153502,Northern,FALSE,
6097154308,Northern,FALSE,
6029003127,Central,TRUE,Bakersfield (PG&E zonal gas decommissioning area) 
6085507806,Northern,FALSE,
6085508305,Northern,FALSE,
6081608400,Northern,FALSE,
6085508206,Northern,FALSE,
6075010202,Northern,FALSE,
6085506304,Northern,FALSE,
6085508509,Northern,FALSE,
6085506203,Northern,FALSE,
6085508301,Northern,FALSE,
6081602602,Northern,FALSE,
6029004802,Central,TRUE,Delano
6081606700,Northern,FALSE,
6081600800,Northern,FALSE,
6081608200,Northern,FALSE,
6037264306,Southern,FALSE,
6085508503,Northern,FALSE,
6023000800,Northern,FALSE,
6075012602,Northern,FALSE,
6037214903,Southern,FALSE,
6097150607,Northern,FALSE,
6059062636,Southern,FALSE,
6075980300,Northern,FALSE,
6041112204,Northern,FALSE,
6085505902,Northern,FALSE,
6075021100,Northern,FALSE,
6059032065,Southern,FALSE,
6081612600,Northern,FALSE,
6037599000,Southern,FALSE,
6075061506,Northern,FALSE,
6001422901,Northern,FALSE,
6001422800,Northern,FALSE,
6045010500,Northern,FALSE,
6029004904,Central,TRUE,Delano
6029004801,Central,TRUE,Delano
6075021600,Northern,FALSE,
6075020401,Northern,FALSE,
6081600702,Northern,FALSE,
6037650702,Southern,FALSE,
6075022600,Northern,FALSE,
6075021300,Northern,FALSE,
6075035202,Northern,FALSE,
6081601100,Northern,FALSE,
6001405000,Northern,FALSE,
6075013402,Northern,FALSE,
6075015600,Northern,FALSE,
6075045100,Northern,FALSE,
6037621204,Southern,FALSE,
6023001002,Northern,FALSE,
6075030202,Northern,FALSE,
6023000900,Northern,FALSE,
6037670405,Southern,FALSE,
6075016700,Northern,FALSE,
6075035101,Northern,FALSE,
6085508102,Northern,FALSE,
6075045202,Northern,FALSE,
6081608502,Northern,FALSE,
6075015702,Northern,FALSE,
6075010500,Northern,FALSE,
6075016601,Northern,FALSE,
6075021200,Northern,FALSE,
6029005003,Central,TRUE,Delano
6085508602,Northern,FALSE,
6085508601,Northern,FALSE,
6041116000,Northern,FALSE,
6013352201,Northern,FALSE,
6081608600,Northern,TRUE,San Mateo - East Palo Alto and Redwood City rapid start
6075020601,Northern,FALSE,
6085509600,Northern,FALSE,
6075015701,Northern,FALSE,
6075013001,Northern,FALSE,
6075017000,Northern,FALSE,
6085508401,Northern,FALSE,
6029004607,Central,TRUE,Delano
6075017101,Northern,FALSE,
6081611300,Northern,FALSE,
6037651221,Southern,FALSE,
6075017604,Northern,FALSE,
6075013002,Northern,FALSE,
6081603000,Northern,FALSE,
6059062637,Southern,FALSE,
6075016500,Northern,FALSE,
6041117000,Northern,FALSE,
6037670328,Southern,FALSE,
6075021500,Northern,FALSE,
6029004901,Central,TRUE,Delano
6001421100,Northern,FALSE,
6001427800,Northern,FALSE,
6001428000,Northern,FALSE,
6001428200,Northern,FALSE,
6001428500,Northern,FALSE,
6001433500,Northern,FALSE,
6001440306,Northern,FALSE,
6001441521,Northern,FALSE,
6001441524,Northern,FALSE,
6001442000,Northern,FALSE,
6001442800,Northern,FALSE,
6001443103,Northern,FALSE,
6001443105,Northern,FALSE,
6001444303,Northern,FALSE,
6001981900,Northern,FALSE,
6013321102,Northern,FALSE,
6013353001,Northern,FALSE,
6013356002,Northern,FALSE,
6013392202,Northern,FALSE,
6015000102,Northern,FALSE,
6015000104,Northern,FALSE,
6017030202,Northern,FALSE,
6017032001,Northern,FALSE,
6025012101,Southern,TRUE,"Imperial Valley - Salton Sea, El Centro, Brawley, Calexico"
6033001102,Northern,FALSE,
6037216401,Southern,FALSE,
6037261200,Southern,FALSE,
6037262100,Southern,FALSE,
6037262302,Southern,FALSE,
6037262303,Southern,FALSE,
6037264000,Southern,FALSE,
6037264305,Southern,FALSE,
6037265410,Southern,FALSE,
6037265701,Southern,FALSE,
6037265702,Southern,FALSE,
6037267405,Southern,FALSE,
6037267406,Southern,FALSE,
6037267800,Southern,FALSE,
6037267901,Southern,FALSE,
6037269500,Southern,FALSE,
6037271100,Southern,FALSE,
6037271702,Southern,FALSE,
6037271704,Southern,FALSE,
6037273600,Southern,FALSE,
6037273700,Southern,FALSE,
6037273800,Southern,FALSE,
6037274100,Southern,FALSE,
6037276607,Southern,FALSE,
6037296401,Southern,FALSE,
6037297001,Southern,FALSE,
6037297400,Southern,FALSE,
6037650501,Southern,FALSE,
6037670701,Southern,FALSE,
6037980005,Southern,FALSE,
6041101200,Northern,FALSE,
6041106002,Northern,FALSE,
6041113000,Northern,FALSE,
6041120002,Northern,FALSE,
6041121200,Northern,FALSE,
6041124100,Northern,FALSE,
6041124200,Northern,FALSE,
6041129000,Northern,FALSE,
6041130203,Northern,FALSE,
6041131100,Northern,FALSE,
6041133000,Northern,FALSE,
6029005006,Central,TRUE,Delano
6029004702,Central,TRUE,Delano
6029005005,Central,TRUE,Delano
6029004601,Central,TRUE,Delano
6055201006,Northern,FALSE,
6059032022,Southern,FALSE,
6059032031,Southern,FALSE,
6059032043,Southern,FALSE,
6059032045,Southern,FALSE,
6059032061,Southern,FALSE,
6059032063,Southern,FALSE,
6059032066,Southern,FALSE,
6059042109,Southern,FALSE,
6059042113,Southern,FALSE,
6059042116,Southern,FALSE,
6059042203,Southern,FALSE,
6059042305,Southern,FALSE,
6059042341,Southern,FALSE,
6059052428,Southern,FALSE,
6059062641,Southern,FALSE,
6059062650,Southern,FALSE,
6059099217,Southern,FALSE,
6059099246,Southern,FALSE,
6063000201,Northern,FALSE,
6029004606,Central,TRUE,Delano
6071011300,Southern,FALSE,
6071011408,Southern,FALSE,
6073000201,Southern,FALSE,
6073000302,Southern,FALSE,
6073000700,Southern,FALSE,
6073000800,Southern,FALSE,
6073001301,Southern,FALSE,
6073003212,Southern,FALSE,
6073005302,Southern,FALSE,
6073005402,Southern,FALSE,
6073005403,Southern,FALSE,
6073006200,Southern,FALSE,
6073007100,Southern,FALSE,
6073007303,Southern,FALSE,
6073007501,Southern,FALSE,
6073007502,Southern,FALSE,
6073007702,Southern,FALSE,
6073007800,Southern,FALSE,
6073007907,Southern,FALSE,
6073007908,Southern,FALSE,
6073007911,Southern,FALSE,
6073007912,Southern,FALSE,
6073008101,Southern,FALSE,
6073008201,Southern,FALSE,
6073008202,Southern,FALSE,
6073008303,Southern,FALSE,
6073008306,Southern,FALSE,
6073008310,Southern,FALSE,
6073008311,Southern,FALSE,
6073008343,Southern,FALSE,
6073008363,Southern,FALSE,
6073008364,Southern,FALSE,
6073008501,Southern,FALSE,
6073008509,Southern,FALSE,
6073009201,Southern,FALSE,
6073009203,Southern,FALSE,
6073009308,Southern,FALSE,
6073010003,Southern,FALSE,
6073010019,Southern,FALSE,
6073010201,Southern,FALSE,
6073010800,Southern,FALSE,
6073011300,Southern,FALSE,
6073013302,Southern,FALSE,
6073013320,Southern,FALSE,
6073013321,Southern,FALSE,
6073013401,Southern,FALSE,
6073013412,Southern,FALSE,
6073013417,Southern,FALSE,
6073017701,Southern,FALSE,
6073017809,Southern,FALSE,
6073017811,Southern,FALSE,
6073018201,Southern,FALSE,
6073018202,Southern,FALSE,
6073018301,Southern,FALSE,
6073018504,Southern,FALSE,
6073018511,Southern,FALSE,
6073018522,Southern,FALSE,
6073018601,Southern,FALSE,
6073018616,Southern,FALSE,
6073021402,Southern,FALSE,
6029004605,Central,TRUE,Delano
6029004903,Central,TRUE,Delano
6081601604,Northern,FALSE,
6081601700,Northern,FALSE,
6081609603,Northern,FALSE,
6081609900,Northern,FALSE,
6029004603,Central,TRUE,Delano
6029004703,Central,TRUE,Delano
6029004704,Central,TRUE,Delano
6019003104,Central,TRUE,East Fresno (PG&E zonal gas decommissioning area)
6019005608,Central,TRUE,East Fresno (PG&E zonal gas decommissioning area)
6019005607,Central,TRUE,East Fresno (PG&E zonal gas decommissioning area)
6019001500,Central,TRUE,East Fresno (PG&E zonal gas decommissioning area)
6085503507,Northern,FALSE,
6085504508,Northern,FALSE,
6085505305,Northern,FALSE,
6085509901,Northern,FALSE,
6085510200,Northern,FALSE,
6085511301,Northern,FALSE,
6085511907,Northern,FALSE,
6085511910,Northern,FALSE,
6085511914,Northern,FALSE,
6085513000,Northern,FALSE,
6019002502,Central,TRUE,East Fresno (PG&E zonal gas decommissioning area)
6089011501,Northern,TRUE,"Redding, Shasta Lake"
6089011502,Northern,FALSE,
6093000901,Northern,FALSE,
6097151505,Northern,FALSE,
6097151602,Northern,FALSE,
6097152601,Northern,FALSE,
6097154305,Northern,FALSE,
6105000102,Northern,FALSE,
6105000200,Northern,FALSE,
6019002601,Central,TRUE,East Fresno (PG&E zonal gas decommissioning area)
6019006201,Central,TRUE,East Fresno (PG&E zonal gas decommissioning area)
6085506204,Northern,FALSE,
6075012504,Northern,FALSE,
6085508705,Northern,FALSE,
6075013401,Northern,FALSE,
6059063006,Southern,FALSE,
6075020602,Northern,FALSE,
6075016400,Northern,FALSE,
6085508708,Northern,FALSE,
6059062800,Southern,FALSE,
6081608501,Northern,FALSE,
6085508706,Northern,FALSE,
6075017102,Northern,FALSE,
6085506804,Northern,FALSE,
6081607500,Northern,FALSE,
6023000300,Northern,FALSE,
6097152205,Northern,FALSE,
6001423602,Northern,FALSE,
6013359204,Northern,FALSE,
6059062638,Southern,FALSE,
6075016602,Northern,FALSE,
6085506301,Northern,FALSE,
6075021400,Northern,FALSE,
6075015202,Northern,FALSE,
6075020500,Northern,FALSE,
6085508508,Northern,FALSE,
6085507805,Northern,FALSE,
6075047904,Northern,FALSE,
6075061507,Northern,FALSE,
6001441929,Northern,FALSE,
6085506302,Northern,FALSE,
6075015802,Northern,FALSE,
6075045201,Northern,FALSE,
6085506504,Northern,FALSE,
6085508306,Northern,FALSE,
6013359105,Northern,FALSE,
6019001600,Central,TRUE,East Fresno (PG&E zonal gas decommissioning area)
6037670418,Southern,FALSE,
6097151504,Northern,FALSE,
6085508204,Northern,FALSE,
6037670413,Southern,FALSE,
6059042320,Southern,FALSE,
6075013500,Northern,FALSE,
6081605200,Northern,FALSE,
6037651201,Southern,FALSE,
6075060701,Northern,FALSE,
6059099215,Southern,FALSE,
6037621201,Southern,FALSE,
6075015300,Northern,FALSE,
6081605501,Northern,FALSE,
6001403800,Northern,FALSE,
6019005904,Central,TRUE,East Fresno (PG&E zonal gas decommissioning area)
6001404900,Northern,FALSE,
6001422902,Northern,FALSE,
6019003001,Central,TRUE,East Fresno (PG&E zonal gas decommissioning area)
6037651304,Southern,FALSE,
6097150601,Northern,FALSE,
6037621326,Southern,FALSE,
6059099214,Southern,FALSE,
6081603801,Northern,FALSE,
6059062658,Southern,FALSE,
6019002602,Central,TRUE,East Fresno (PG&E zonal gas decommissioning area)
6019003103,Central,TRUE,East Fresno (PG&E zonal gas decommissioning area)
6023010502,Northern,FALSE,
6013354002,Northern,FALSE,
6085507402,Northern,FALSE,
6037621400,Southern,FALSE,
6081603300,Northern,FALSE,
6075030102,Northern,FALSE,
6001423500,Northern,FALSE,
6001421400,Northern,FALSE,
6081603700,Northern,FALSE,
6001400200,Northern,FALSE,
6097152906,Northern,FALSE,
6001404501,Northern,FALSE,
6075021000,Northern,FALSE,
6081609202,Northern,FALSE,
6081605100,Northern,FALSE,
6001421700,Northern,FALSE,
6075010300,Northern,FALSE,
6081609602,Northern,FALSE,
